ID,GroupID,OccurrenceTime,AlarmTextID,CurValue,ResetTime,VariableValue,Operator,Conditions
72024,2,2021-08-12 20:43:05,30,Off,2021-08-12 20:47:56,,,Off
72025,2,2021-08-12 20:47:56,29,On,2021-08-12 20:47:59,,,On
72026,0,2021-08-12 20:47:59,0,On,2021-08-12 20:48:00,,,On
72027,2,2021-08-12 20:47:59,30,Off,2021-08-12 21:13:41,,,Off
72028,1,2021-08-12 20:47:59,4,Off,2021-08-12 21:10:33,,,Off
72029,2,2021-08-12 20:47:59,9,Off,2021-08-12 21:10:33,,,Off
72030,2,2021-08-12 20:57:58,39,On,2021-08-12 21:10:33,,,On
72031,1,2021-08-12 21:09:49,5,On,2021-08-12 23:20:08,,,On
72032,1,2021-08-12 21:10:33,3,On,2021-08-12 23:20:08,,,On
72033,2,2021-08-12 21:10:33,8,On,2021-08-12 23:08:08,,,On
72034,2,2021-08-12 21:10:41,35,On,2021-08-12 23:18:07,,,On
72035,2,2021-08-12 21:13:41,29,On,2021-08-12 21:19:32,,,On
72036,2,2021-08-12 21:19:32,30,Off,2021-08-12 21:21:53,,,Off
72037,2,2021-08-12 21:19:32,27,On,2021-08-12 21:19:42,,,On
….,….,….,….,….,….,….,….,….
….,….,….,….,….,….,….,….,….
82495,2,2021-12-16 09:09:23,29,On,2021-12-16 09:09:29,,,On
82496,2,2021-12-16 09:09:29,30,Off,2021-12-16 09:09:38,,,Off
82497,2,2021-12-16 09:09:38,29,On,2021-12-16 09:09:43,,,On
82498,2,2021-12-16 09:09:43,30,Off,2021-12-16 09:09:48,,,Off
82499,2,2021-12-16 09:09:48,29,On,2021-12-16 09:09:54,,,On
82500,2,2021-12-16 09:09:54,30,Off,2021-12-16 09:10:02,,,Off
82501,2,2021-12-16 09:10:02,29,On,2021-12-16 09:10:11,,,On
82502,2,2021-12-16 09:10:11,30,Off,2021-12-16 09:10:12,,,Off
82503,2,2021-12-16 09:10:12,29,On,2021-12-16 09:10:21,,,On
82504,2,2021-12-16 09:10:21,30,Off,2021-12-16 09:10:31,,,Off
82505,2,2021-12-16 09:10:31,29,On,2021-12-16 09:11:10,,,On
82506,2,2021-12-16 09:11:10,30,Off,2021-12-16 09:11:48,,,Off
82507,2,2021-12-16 09:11:48,29,On,2021-12-16 09:12:00,,,On
82508,2,2021-12-16 09:12:00,30,Off,2021-12-16 09:12:46,,,Off
82509,2,2021-12-16 09:12:46,29,On,2021-12-16 09:12:58,,,On
82510,2,2021-12-16 09:12:58,30,Off,2021-12-16 09:13:03,,,Off
82511,2,2021-12-16 09:13:03,29,On,2021-12-16 09:13:04,,,On
82512,2,2021-12-16 09:13:04,30,Off,2021-12-16 09:13:06,,,Off
82513,2,2021-12-16 09:13:06,29,On,2021-12-16 09:13:07,,,On
82514,2,2021-12-16 09:13:07,30,Off,2021-12-16 09:13:14,,,Off
82515,2,2021-12-16 09:13:14,29,On,2021-12-16 09:13:18,,,On
82516,2,2021-12-16 09:13:18,30,Off,2021-12-16 09:13:51,,,Off
82517,2,2021-12-16 09:13:51,29,On,2021-12-16 09:14:23,,,On
82518,2,2021-12-16 09:14:23,30,Off,2021-12-16 09:14:51,,,Off
82519,2,2021-12-16 09:14:51,29,On,2021-12-16 09:15:34,,,On
82520,2,2021-12-16 09:15:34,30,Off,2021-12-16 09:15:43,,,Off
82521,2,2021-12-16 09:15:43,29,On,2021-12-16 09:22:36,,,On
82522,2,2021-12-16 09:22:36,30,Off,2021-12-16 09:26:31,,,Off
82523,1,2021-12-16 09:22:37,1,On,2021-12-16 12:03:04,,,On
82524,1,2021-12-16 09:22:39,5,On,2021-12-16 10:34:56,,,On
82525,1,2021-12-16 09:23:23,3,On,2021-12-16 10:34:56,,,On
82526,2,2021-12-16 09:23:24,8,On,2021-12-16 10:22:56,,,On
82527,2,2021-12-16 09:23:31,35,On,2021-12-16 10:32:56,,,On
82528,2,2021-12-16 09:26:31,29,On,2021-12-16 10:22:56,,,On
82529,2,2021-12-16 10:22:56,9,Off,,,,Off
82530,1,2021-12-16 10:22:56,36,Off,2021-12-16 10:22:57,,,Off
82531,2,2021-12-16 10:22:56,30,Off,,,,Off
82532,1,2021-12-16 10:22:56,38,On,2021-12-16 10:34:56,,,On
82533,2,2021-12-16 10:32:56,39,On,,,,On
82534,1,2021-12-16 10:34:56,4,Off,,,,Off
82535,1,2021-12-16 12:03:04,2,Off,,,,Off
82536,1,2021-12-16 14:41:11,1,On,,,,On
82537,1,2021-12-16 14:41:11,4,Off,,,,Off
82538,2,2021-12-16 14:41:11,9,Off,,,,Off
82539,2,2021-12-16 14:41:11,7,Off,,,,Off
82540,2,2021-12-16 14:41:11,30,Off,,,,Off
