ID,Language1,Language2,Language3,Language4,Language5,Language6,Language7,Language8
0,STOP,,,,,,,
1,ЛИНИЯ АВТОМАТИЧЕСКИЙ РЕЖИМ,,,,,,,
2,ЛИНИЯ РУЧНОЙ РЕЖИМ,,,,,,,
3,ЛИНИЯ ЗАПУЩЕНА,,,,,,,
4,ЛИНИЯ ОСТАНОВЛЕНА,,,,,,,
5,ЗАПУСК ЛИНИИ,,,,,,,
6,ШРЕДЕР АВТОМАТИЧЕСКИЙ РЕЖИМ,,,,,,,
7,ШРЕДЕР РУЧНОЙ РЕЖИМ,,,,,,,
8,ЗАПУСК ШРЕДЕРА,,,,,,,
9,ОСТАНОВ ШРЕДЕРА,,,,,,,
10,АВАРИЯ ВС1,,,,,,,
11,АВАРИЯ ВС2,,,,,,,
12,АВАРИЯ ВС3,,,,,,,
13,АВАРИЯ МК2,,,,,,,
14,АВАРИЯ МК1,,,,,,,
15,АВАРИЯ В1,,,,,,,
16,АВАРИЯ В2,,,,,,,
17,АВАРИЯ Д1.1,,,,,,,
18,АВАРИЯ Д1.2,,,,,,,
19,АВАРИЯ Д2.1,,,,,,,
20,АВАРИЯ Д2.2,,,,,,,
21,АВАРИЯ НФ ВПЕРЕД,,,,,,,
22,АВАРИЯ НФ НАЗАД,,,,,,,
23,АВАРИЯ ВФ1 ВПЕРЕД,,,,,,,
24,АВАРИЯ ВФ1 НАЗАД,,,,,,,
25,АВАРИЯ ВФ2 ВПЕРЕД,,,,,,,
26,АВАРИЯ ВФ2 НАЗАД,,,,,,,
27,ПЕРЕГРУЗ НФ,,,,,,,
28,ПЕРЕГРУЗ ВФ,,,,,,,
29,КОНВЕЙР ВКЛЮЧЕН,,,,,,,
30,КОНВЕЙЕР ОТКЛЮЧЕН,,,,,,,
31,НФ РЕВЕРС,,,,,,,
32,ВФ1 РЕВЕРС,,,,,,,
33,ВФ2 РЕВЕРС,,,,,,,
34,АВАРИЯ 380,,,,,,,
35,ШРЕДЕР ЗАПУЩЕН,,,,,,,
36,КНОПКА СТОП ЛИНИЯ,,,,,,,
37,КНОПКА СТОП ШРЕДЕР,,,,,,,
38,ОСТАНОВ ЛИНИИ,,,,,,,
39,ШРЕДЕР ОСТАНОВЛЕН,,,,,,,
40,ПЕРЕГРУЗ Д1.1,,,,,,,
