IndexID,CollectTime,РАБОТАНФ,РАБОТАД11
1090,2021-09-29 11:54:20,449926,455806
1091,2021-09-29 17:22:11,450246,456126
1092,2021-09-29 19:17:02,450329,456209
1093,2021-10-08 09:03:31,450330,456211
1094,2021-10-19 14:24:54,450330,456211
1095,2021-10-19 18:06:00,450396,456281
1096,2021-10-20 08:15:47,450491,456378
1097,2021-10-20 17:38:30,451043,456932
1098,2021-10-21 08:24:34,451142,457030
1099,2021-10-22 06:35:12,451824,457714
1100,2021-10-22 20:42:51,451954,457844
1101,2021-10-23 06:12:27,452146,458038
1102,2021-10-24 06:17:23,453140,459038
…,…,…,…
…,…,…,…
1222,2021-12-16 07:14:00,501618,507650
1223,2021-12-16 14:42:10,501726,507752
