IndexID,CollectTime,ТОКНФ,ТОКВФ,ТОК Д11
559721,2021-09-27 18:14:51,54.7,57,50.8
559722,2021-09-27 18:15:51,54,25.9,57.9
559723,2021-09-27 18:16:51,49.8,26.3,53.5
559724,2021-09-27 18:17:51,41.3,24.5,40.3
559725,2021-09-27 18:18:51,37,44.6,44.6
559726,2021-09-27 18:19:51,50.2,28.1,50.2
559727,2021-09-27 18:20:51,52.3,35.1,55.7
559728,2021-09-27 18:21:51,57.4,33.2,60.3
559729,2021-09-27 18:22:51,43.5,53.1,53.2
559730,2021-09-27 18:23:51,43.8,38.7,54.2
559731,2021-09-27 18:24:51,45,60.5,49.6
559732,2021-09-27 18:25:51,52.8,40.3,54.5
559733,2021-09-27 18:26:51,53.8,25.6,63.1
559734,2021-09-27 18:27:52,49.5,26.7,53.6
559735,2021-09-27 18:28:52,46.2,32.5,52.9
559736,2021-09-27 18:29:52,69.8,31.4,68.2
…..,…..,…,…,…
…..,…..,….,….,….
619294,2021-12-16 15:16:12,0,0,0.2
619295,2021-12-16 15:17:13,0,0,0.2
619296,2021-12-16 15:18:13,0,0.1,0.2
619297,2021-12-16 15:19:13,0,0,0.2
619298,2021-12-16 15:20:13,0,0.1,0.3
